caller	site	target	edge_kind	confidence	evidence
80014478	800146b4	8007ba00	direct_ghidra	confirmed_static	calls.tsv
80014478	800147a8	8007e36c	direct_ghidra	confirmed_static	calls.tsv
80014478	800147b0	8007edf8	direct_ghidra	confirmed_static	calls.tsv
80014478	800147c8	8007b78c	direct_ghidra	confirmed_static	calls.tsv
80014478	800147e4	8007e36c	direct_ghidra	confirmed_static	calls.tsv
80014478	800147ec	8007edf8	direct_ghidra	confirmed_static	calls.tsv
80014478	80014834	8007eb98	direct_ghidra	confirmed_static	calls.tsv
80014478	80014874	8007ba00	direct_ghidra	confirmed_static	calls.tsv
80014478	800148f4	800777d8	direct_ghidra	confirmed_static	calls.tsv
80014478	80014938	8007ba00	direct_ghidra	confirmed_static	calls.tsv
80014978	800149d8	800142f8	direct_ghidra	confirmed_static	calls.tsv
80014978	80014a24	80014478	direct_ghidra	confirmed_static	calls.tsv
80014b5c	80014bbc	800139b0	direct_ghidra	confirmed_static	calls.tsv
80014b5c	80014c18	80013a84	direct_ghidra	confirmed_static	calls.tsv
80014b5c	80014ccc	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80014b5c	80014cf8	800138b4	direct_ghidra	confirmed_static	calls.tsv
80014d38	80014dd4	800138b4	direct_ghidra	confirmed_static	calls.tsv
80014e08	80014e98	800138b4	direct_ghidra	confirmed_static	calls.tsv
80014ec0	80014f0c	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80014f54	80014f7c	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80014f94	80014fec	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80014f94	80015024	800138b4	direct_ghidra	confirmed_static	calls.tsv
8001522c	80015270	80015c18	direct_ghidra	confirmed_static	calls.tsv
8001522c	800152bc	80015c18	direct_ghidra	confirmed_static	calls.tsv
8001522c	80015314	80015c28	direct_ghidra	confirmed_static	calls.tsv
8001522c	8001537c	80015c18	direct_ghidra	confirmed_static	calls.tsv
8001522c	800153ac	800150f4	direct_ghidra	confirmed_static	calls.tsv
80015400	80015424	8001522c	direct_ghidra	confirmed_static	calls.tsv
80015400	800154bc	800841c8	direct_ghidra	confirmed_static	calls.tsv
80015400	800155ac	800841c8	direct_ghidra	confirmed_static	calls.tsv
800155f8	80015608	800157d4	direct_ghidra	confirmed_static	calls.tsv
800155f8	80015630	80015c28	direct_ghidra	confirmed_static	calls.tsv
8001569c	800156d4	800155d4	direct_ghidra	confirmed_static	calls.tsv
8001569c	800156e0	80015648	direct_ghidra	confirmed_static	calls.tsv
800156f8	80015700	8001569c	direct_ghidra	confirmed_static	calls.tsv
800156f8	80015720	80015648	direct_ghidra	confirmed_static	calls.tsv
80015738	80015760	8001569c	direct_ghidra	confirmed_static	calls.tsv
80015738	80015774	80015648	direct_ghidra	confirmed_static	calls.tsv
800157d4	800157fc	800155d4	direct_ghidra	confirmed_static	calls.tsv
800157d4	80015808	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015820	80015828	800157d4	direct_ghidra	confirmed_static	calls.tsv
80015820	80015848	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015860	80015888	800157d4	direct_ghidra	confirmed_static	calls.tsv
80015860	8001589c	8001578c	direct_ghidra	confirmed_static	calls.tsv
800158b4	800158c8	80012c50	direct_ghidra	confirmed_static	calls.tsv
800158f4	800158fc	8001569c	direct_ghidra	confirmed_static	calls.tsv
800158f4	80015904	800158b4	direct_ghidra	confirmed_static	calls.tsv
8001591c	80015924	800156f8	direct_ghidra	confirmed_static	calls.tsv
8001591c	8001592c	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015944	8001594c	80015738	direct_ghidra	confirmed_static	calls.tsv
80015944	80015954	800158b4	direct_ghidra	confirmed_static	calls.tsv
8001596c	80015974	8001569c	direct_ghidra	confirmed_static	calls.tsv
8001596c	80015990	80015648	direct_ghidra	confirmed_static	calls.tsv
8001596c	80015998	800158b4	direct_ghidra	confirmed_static	calls.tsv
800159b0	800159b8	8001569c	direct_ghidra	confirmed_static	calls.tsv
800159b0	800159d4	80015648	direct_ghidra	confirmed_static	calls.tsv
800159b0	800159dc	800158b4	direct_ghidra	confirmed_static	calls.tsv
800159f4	800159fc	800157d4	direct_ghidra	confirmed_static	calls.tsv
800159f4	80015a04	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015a1c	80015a24	80015820	direct_ghidra	confirmed_static	calls.tsv
80015a1c	80015a2c	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015a44	80015a4c	80015860	direct_ghidra	confirmed_static	calls.tsv
80015a44	80015a54	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015a6c	80015a74	800157d4	direct_ghidra	confirmed_static	calls.tsv
80015a6c	80015a90	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015a6c	80015a98	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015ab0	80015ab8	800157d4	direct_ghidra	confirmed_static	calls.tsv
80015ab0	80015ad4	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015ab0	80015adc	800158b4	direct_ghidra	confirmed_static	calls.tsv
80015b28	80015b30	8001569c	direct_ghidra	confirmed_static	calls.tsv
80015b28	80015b4c	80015648	direct_ghidra	confirmed_static	calls.tsv
80015b64	80015b6c	8001569c	direct_ghidra	confirmed_static	calls.tsv
80015b64	80015b88	80015648	direct_ghidra	confirmed_static	calls.tsv
80015ba0	80015ba8	800157d4	direct_ghidra	confirmed_static	calls.tsv
