global	function	access
DAT_1F8000D0	80036298	write
DAT_1F8000D0	80042f38	write
DAT_1F8000D2	80042f38	read_write
DAT_1F8000D4	80036298	write
DAT_1F8000DC	80042f38	write
DAT_1F8000E4	80042f38	read_write
DAT_1F8000EC	80042f38	write
DAT_1F8000EE	80042f38	write
DAT_1F8000F4	80042f38	read_write
DAT_1F8000F6	80042f38	write
DAT_1F800100	80036298	read_write
DAT_1F800100	80042f38	write
DAT_1F800108	80036298	write
DAT_1F800108	80042f38	read_write
DAT_1F80010C	80036298	write
DAT_1F80010E	80036298	write
DAT_1F80010F	80036298	write
DAT_1F800110	80036298	write
DAT_1F800110	80042f38	write
DAT_1F800112	80036298	write
DAT_1F800112	80042f38	write
DAT_1F800114	80036298	write
DAT_1F800118	80042f38	read_write
DAT_1F80011A	80042f38	read_write
DAT_1F800124	80042f38	write
DAT_1F80012C	80042f38	write
DAT_1F800134	80042f38	write
DAT_1F800136	80042f38	write
DAT_1F80013C	80042f38	write
DAT_1F80013E	80042f38	write
DAT_1F800140	80016418	read
DAT_1F800140	80036298	read_write
DAT_1F800143	80016418	write
DAT_1F800144	80016418	write
DAT_1F800145	80016418	write
DAT_1F800146	80016418	write
DAT_1F800147	80016418	write
DAT_1F800148	80036298	write
DAT_1F80014C	80016418	write
DAT_1F80014C	80036298	write
DAT_1F80014D	80016418	write
DAT_1F80014E	80016418	write
DAT_1F80014E	80036298	write
DAT_1F800150	80036298	write
DAT_1F800152	80036298	write
DAT_1F800154	80016418	write
DAT_1F800154	80036298	write
DAT_1F800155	80016418	write
DAT_1F800156	80016418	write
DAT_1F80015C	80016418	write
DAT_1F80015D	80016418	write
DAT_1F800164	80016418	write
DAT_1F800165	80016418	write
DAT_1F80018D	80016418	write
DAT_1F80018E	80016418	write
DAT_1F800199	80016418	write
DAT_1F80019A	80016418	write
DAT_1F8001A5	80016418	write
DAT_1F8001B1	80016418	write
DAT_1F800200	80029acc	read_write
DAT_1F800204	80029acc	read_write
DAT_1F800280	800424b8	read_write
DAT_1F800290	800424b8	read_write
DAT_1F800294	800424b8	read_write
DAT_1F800298	800424b8	read_write
DAT_1F80029C	800424b8	read_write
DAT_1F8002A3	8002ab50	write
DAT_1F8002A4	8002ab50	read_write
DAT_1F8002AC	8002ab50	read_write
DAT_1F8002B4	8002ab50	read
DAT_1F8002B8	8002ab50	write
