address	name	body_bytes	status	origin	region
80021614	FUN_80021614	64	ok	resident_export	resident
80021654	FUN_80021654	632	ok	resident_export	resident
800218cc	FUN_800218cc	132	ok	resident_export	resident
80021950	FUN_80021950	92	ok	resident_export	resident
800219ac	FUN_800219ac	1992	ok	resident_export	resident
80022174	FUN_80022174	572	ok	resident_export	resident
800223b0	FUN_800223b0	804	ok	resident_export	resident
800226d4	FUN_800226d4	92	ok	resident_export	resident
80022730	FUN_80022730	896	ok	resident_export	resident
80022ab0	FUN_80022ab0	928	ok	resident_export	resident
80022e50	FUN_80022e50	344	ok	resident_export	resident
80022fa8	FUN_80022fa8	172	ok	resident_export	resident
80023054	FUN_80023054	88	ok	resident_export	resident
800230ac	FUN_800230ac	160	ok	resident_export	resident
8002314c	FUN_8002314c	180	ok	resident_export	resident
80023200	FUN_80023200	840	ok	resident_export	resident
80023548	FUN_80023548	88	ok	resident_export	resident
800235a0	FUN_800235a0	220	ok	resident_export	resident
8002367c	FUN_8002367c	1864	ok	resident_export	resident
80023dc4	FUN_80023dc4	692	ok	resident_export	resident
80024078	FUN_80024078	164	ok	resident_export	resident
8002411c	FUN_8002411c	40	ok	resident_export	resident
80024144	FUN_80024144	40	ok	resident_export	resident
8002416c	FUN_8002416c	336	ok	resident_export	resident
800242bc	FUN_800242bc	392	ok	resident_export	resident
80024444	FUN_80024444	108	ok	resident_export	resident
800244b0	FUN_800244b0	428	ok	resident_export	resident
8002465c	FUN_8002465c	76	ok	resident_export	resident
800247f0	FUN_800247f0	240	ok	resident_export	resident
800248e0	FUN_800248e0	240	ok	resident_export	resident
800249d0	FUN_800249d0	64	ok	resident_export	resident
80024a10	FUN_80024a10	40	ok	resident_export	resident
80024a38	FUN_80024a38	100	ok	resident_export	resident
80024a9c	FUN_80024a9c	572	ok	resident_export	resident
80024cd8	FUN_80024cd8	280	ok	resident_export	resident
80024df0	FUN_80024df0	148	ok	resident_export	resident
80024e84	FUN_80024e84	92	ok	resident_export	resident
80024ee0	FUN_80024ee0	40	ok	resident_export	resident
80024f14	FUN_80024f14	452	ok	resident_export	resident
800250d8	FUN_800250d8	160	ok	resident_export	resident
80025178	FUN_80025178	404	ok	resident_export	resident
8002543c	FUN_8002543c	624	ok	resident_export	resident
800256ac	FUN_800256ac	420	ok	resident_export	resident
80025850	FUN_80025850	460	ok	resident_export	resident
80025a1c	FUN_80025a1c	444	ok	resident_export	resident
80025bd8	FUN_80025bd8	196	ok	resident_export	resident
80025c9c	FUN_80025c9c	324	ok	resident_export	resident
80025de0	FUN_80025de0	432	ok	resident_export	resident
80025f90	FUN_80025f90	92	ok	resident_export	resident
80025fec	FUN_80025fec	404	ok	resident_export	resident
80026180	FUN_80026180	348	ok	resident_export	resident
800262dc	FUN_800262dc	168	ok	resident_export	resident
80026384	FUN_80026384	1880	ok	resident_export	resident
80026adc	FUN_80026adc	224	ok	resident_export	resident
80026bbc	FUN_80026bbc	112	ok	resident_export	resident
80026c2c	FUN_80026c2c	104	ok	resident_export	resident
80026c94	FUN_80026c94	96	ok	resident_export	resident
80026cf4	FUN_80026cf4	172	ok	resident_export	resident
80026da0	FUN_80026da0	176	ok	resident_export	resident
80026e50	FUN_80026e50	664	ok	resident_export	resident
800270e8	FUN_800270e8	204	ok	resident_export	resident
800271b4	FUN_800271b4	252	ok	resident_export	resident
800272b0	FUN_800272b0	736	ok	resident_export	resident
80027590	FUN_80027590	644	ok	resident_export	resident
80027814	FUN_80027814	276	ok	resident_export	resident
80027928	FUN_80027928	284	ok	resident_export	resident
80027a44	FUN_80027a44	1084	ok	resident_export	resident
80027e80	FUN_80027e80	1064	ok	resident_export	resident
800282a8	FUN_800282a8	64	ok	resident_export	resident
80028370	FUN_80028370	40	ok	resident_export	resident
80028398	FUN_80028398	220	ok	resident_export	resident
8002847c	FUN_8002847c	1320	ok	resident_export	resident
800289a4	FUN_800289a4	128	ok	resident_export	resident
80028a2c	FUN_80028a2c	116	ok	resident_export	resident
80028aa0	FUN_80028aa0	364	ok	resident_export	resident
80028c0c	FUN_80028c0c	1652	ok	resident_export	resident
80029280	FUN_80029280	92	ok	resident_export	resident
800292dc	FUN_800292dc	120	ok	resident_export	resident
80029354	FUN_80029354	876	ok	resident_export	resident
800296c0	FUN_800296c0	76	ok	resident_export	resident
8002970c	FUN_8002970c	28	ok	resident_export	resident
80029728	FUN_80029728	244	ok	resident_export	resident
8002981c	FUN_8002981c	344	ok	resident_export	resident
80029974	FUN_80029974	344	ok	resident_export	resident
80029acc	FUN_80029acc	1404	ok	resident_export	resident
8002a048	FUN_8002a048	20	ok	resident_export	resident
8002a484	FUN_8002a484	216	ok	resident_export	resident
8002a55c	FUN_8002a55c	220	ok	resident_export	resident
8002a638	FUN_8002a638	440	ok	resident_export	resident
8002a7f0	FUN_8002a7f0	88	ok	resident_export	resident
8002a848	FUN_8002a848	208	ok	resident_export	resident
8002a918	FUN_8002a918	568	ok	resident_export	resident
8002ab50	FUN_8002ab50	500	ok	resident_export	resident
8002ad44	FUN_8002ad44	240	ok	resident_export	resident
8002ae34	FUN_8002ae34	3568	ok	resident_export	resident
8002bc24	FUN_8002bc24	12	ok	resident_export	resident
8002bc30	FUN_8002bc30	8	ok	resident_export	resident
8002bc38	FUN_8002bc38	600	ok	resident_export	resident
8002be90	FUN_8002be90	652	ok	resident_export	resident
8002c11c	FUN_8002c11c	144	ok	resident_export	resident
8002c1ac	FUN_8002c1ac	1064	ok	resident_export	resident
8002c6b0	FUN_8002c6b0	60	ok	resident_export	resident
